"participant","minutes","n_previous_marathons","age","gender","hills","weather"
143,473,2,42,"Female",13,"Cloudy"
255,300,7,52,"Male",11,"Sunny"
563,229,9,21,"Other",7,"Cloudy"
562,308,11,36,"Male",17,"Cloudy"
595,256,4,40,"Other",9,"Cloudy"
50,233,10,33,"Female",9,"Sunny"
216,285,8,28,"Female",12,"Light Rain"
366,242,9,35,"Male",10,"Cloudy"
334,362,10,38,"Other",7,"Cloudy"
164,377,6,31,"Female",9,"Cloudy"
398,428,4,34,"Female",11,"Cloudy"
443,349,9,59,"Female",9,"Light Rain"
487,407,4,43,"Female",6,"Cloudy"
236,357,6,43,"Male",12,"Sunny"
2,159,9,27,"Male",7,"Light Rain"
126,93,13,30,"Female",11,"Sunny"
85,460,4,40,"Female",13,"Cloudy"
190,287,11,31,"Female",8,"Sunny"
155,422,4,44,"Female",8,"Light Rain"
462,315,6,41,"Male",9,"Cloudy"
260,227,10,29,"Male",15,"Light Rain"
248,312,12,41,"Female",11,"Cloudy"
20,308,12,44,"Female",17,"Light Rain"
573,348,7,24,"Female",14,"Sunny"
68,206,9,26,"Male",9,"Sunny"
370,465,7,45,"Female",19,"Sunny"
490,226,10,28,"Female",5,"Sunny"
384,315,9,25,"Female",8,"Cloudy"
406,360,7,41,"Female",11,"Light Rain"
166,378,7,47,"Female",11,"Cloudy"
439,365,4,34,"Female",12,"Cloudy"
497,460,5,39,"Female",13,"Sunny"
279,293,3,20,"Male",8,"Cloudy"
214,212,8,37,"Male",8,"Light Rain"
323,420,4,43,"Female",15,"Light Rain"
43,410,6,52,"Female",6,"Cloudy"
3,376,6,26,"Female",8,"Cloudy"
7,258,7,15,"Male",12,"Cloudy"
194,306,8,24,"Female",9,"Cloudy"
543,164,10,30,"Male",8,"Sunny"
239,282,4,29,"Male",7,"Cloudy"
276,435,9,49,"Male",18,"Sunny"
108,274,8,43,"Male",11,"Light Rain"
545,313,9,41,"Female",10,"Cloudy"
15,403,4,31,"Female",12,"Sunny"
37,311,9,21,"Male",11,"Sunny"
516,458,4,43,"Male",7,"Sunny"
428,305,6,37,"Female",4,"Cloudy"
317,238,10,30,"Male",7,"Sunny"
16,204,10,42,"Other",10,"Sunny"
580,358,7,34,"Other",7,"Cloudy"
53,362,9,31,"Other",11,"Sunny"
280,355,8,35,"Female",13,"Cloudy"
89,257,10,31,"Female",6,"Sunny"
261,191,11,27,"Female",15,"Cloudy"
437,393,4,41,"Male",9,"Cloudy"
339,427,8,41,"Male",4,"Cloudy"
508,394,7,57,"Male",9,"Cloudy"
258,332,6,30,"Male",5,"Cloudy"
341,301,6,27,"Male",15,"Sunny"
179,312,10,39,"Male",8,"Cloudy"
332,300,5,16,"Female",12,"Sunny"
298,277,4,16,"Female",14,"Sunny"
137,346,9,42,"Female",12,"Cloudy"
249,299,12,59,"Female",8,"Cloudy"
557,275,8,20,"Female",8,"Sunny"
131,294,8,33,"Female",8,"Sunny"
189,338,11,51,"Male",12,"Cloudy"
87,300,13,40,"Female",11,"Heavy Rain"
307,410,4,28,"Female",9,"Cloudy"
577,287,6,43,"Male",9,"Sunny"
375,332,7,36,"Male",7,"Cloudy"
471,362,4,18,"Female",16,"Light Rain"
546,275,12,35,"Female",8,"Cloudy"
309,400,7,32,"Male",14,"Heavy Rain"
192,347,6,49,"Female",9,"Sunny"
445,196,10,37,"Male",9,"Cloudy"
520,288,9,23,"Female",11,"Cloudy"
581,301,10,40,"Female",11,"Sunny"
549,406,9,51,"Female",6,"Cloudy"
253,346,7,46,"Male",9,"Cloudy"
169,318,6,36,"Male",-999,"Cloudy"
208,337,5,14,"Female",19,"Sunny"
283,236,6,23,"Male",5,"Sunny"
567,302,6,16,"Female",13,"Sunny"
128,260,4,35,"Female",13,"Sunny"
311,309,6,31,"Male",6,"Light Rain"
584,363,6,47,"Female",17,"Sunny"
10,362,7,55,"Female",8,"Sunny"
83,357,6,37,"Female",8,"Sunny"
533,381,6,43,"Male",4,"Cloudy"
468,270,8,33,"Male",7,"Cloudy"
102,276,6,23,"Female",12,"Light Rain"
396,424,5,60,"Male",13,"Cloudy"
345,303,7,31,"Female",11,"Cloudy"
295,361,9,40,"Female",5,"Cloudy"
582,203,9,25,"Female",7,"Cloudy"
35,426,2,39,"Female",11,"Cloudy"
528,346,2,16,"Female",14,"Cloudy"
483,445,6,35,"Female",18,"Sunny"
242,288,8,30,"Female",17,"Sunny"
58,385,9,35,"Female",11,"Light Rain"
555,453,7,58,"Female",15,"Light Rain"
472,404,9,31,"Female",12,"Cloudy"
362,349,5,49,"Female",8,"Sunny"
347,210,13,27,"Female",8,"Cloudy"
106,240,10,18,"Female",7,"Sunny"
118,256,12,39,"Male",-999,"Light Rain"
481,434,5,43,"Female",12,"Light Rain"
306,293,7,33,"Male",7,"Cloudy"
586,468,4,40,"Female",11,"Sunny"
63,383,6,38,"Female",10,"Sunny"
457,268,9,45,"Male",5,"Cloudy"
579,391,7,47,"Female",9,"Cloudy"
9,320,7,47,"Male",10,"Light Rain"
518,255,9,47,"Male",5,"Cloudy"
343,284,7,37,"Female",13,"Cloudy"
352,234,12,36,"Male",11,"Sunny"
447,375,9,62,"Female",12,"Sunny"
522,349,6,42,"Female",12,"Sunny"
198,250,8,37,"Male",12,"Sunny"
82,380,8,37,"Female",12,"Sunny"
111,176,11,40,"Female",9,"Light Rain"
18,319,3,22,"Female",12,"Sunny"
349,305,5,42,"Male",10,"Sunny"
587,332,5,25,"Female",10,"Sunny"
304,243,9,20,"Male",15,"Cloudy"
525,322,7,32,"Female",8,"Cloudy"
429,356,4,28,"Male",10,"Cloudy"
300,360,9,54,"Female",8,"Sunny"
173,230,10,22,"Female",11,"Cloudy"
574,431,6,44,"Female",12,"Sunny"
450,416,8,39,"Female",12,"Cloudy"
458,331,9,33,"Female",10,"Cloudy"
422,201,8,18,"Male",7,"Sunny"
159,344,6,37,"Female",8,"Sunny"
94,319,8,27,"Male",12,"Sunny"
358,364,6,40,"Male",17,"Cloudy"
435,334,5,34,"Female",5,"Sunny"
240,258,9,33,"Male",9,"Sunny"
372,282,6,32,"Female",7,"Sunny"
565,424,8,33,"Female",15,"Light Rain"
496,234,14,43,"Female",9,"Light Rain"
310,199,7,27,"Male",7,"Sunny"
151,336,10,49,"Female",8,"Light Rain"
517,364,7,33,"Female",12,"Sunny"
453,429,5,40,"Female",12,"Sunny"
301,376,9,46,"Male",14,"Sunny"
70,334,6,30,"Male",13,"Cloudy"
346,315,6,44,"Female",8,"Cloudy"
57,345,4,39,"Male",12,"Sunny"
162,308,6,32,"Female",2,"Cloudy"
340,211,13,30,"Female",13,"Sunny"
200,347,7,41,"Female",9,"Sunny"
120,336,6,29,"Female",8,"Sunny"
182,411,6,38,"Other",11,"Light Rain"
597,378,7,37,"Female",10,"Sunny"
115,259,8,31,"Male",9,"Cloudy"
42,302,6,45,"Female",14,"Cloudy"
325,339,4,26,"Male",3,"Sunny"
436,363,8,40,"Female",14,"Sunny"
400,213,14,19,"Female",14,"Sunny"
