"Brand","USB_ports","Size","Age","Sold_Worldwide","Price"
"HP",4,"Large",4,763,387
"HP",3,"Large",2,901,639
"MSI",1,"Medium",0,967,832
"MSI",2,"Small",2,1094,547
"HP",3,"Medium",0,1280,860
"MSI",0,"Small",2,944,576
"HP",3,"Medium",3,934,466
"MSI",3,"Large",1,1143,842
"Apple",2,"Medium",4,1126,570
"HP",2,"Medium",4,1011,410
"HP",1,"Large",1,1130,810
"HP",2,"Medium",0,1046,806
"HP",0,"Large",3,1022,546
"HP",2,"Large",2,978,643
"HP",3,"Medium",0,727,724
"HP",3,"Medium",4,1034,387
"HP",4,"Large",3,1014,603
"MSI",2,"Large",2,1000,658
"MSI",1,"Medium",1,1075,773
"MSI",1,"Medium",3,764,504
"HP",1,"Medium",2,1443,725
"HP",2,"Small",0,922,684
"MSI",0,"Medium",3,1089,575
"MSI",5,"Medium",1,1121,763
"Apple",3,"Small",1,909,700
"HP",1,"Small",1,1296,737
"MSI",1,"Small",3,1033,440
"MSI",2,"Medium",4,914,474
"Apple",2,"Medium",0,1102,937
"HP",5,"Large",2,1115,671
"HP",0,"Large",1,1269,839
"HP",3,"Medium",2,1122,635
"HP",1,"Small",2,980,515
"HP",2,"Large",2,742,586
"MSI",1,"Medium",3,1280,616
"MSI",3,"Large",2,1132,783
"HP",3,"Medium",1,942,717
"Apple",4,"Large",2,767,669
"MSI",0,"Medium",3,1296,618
"MSI",0,"Large",1,596,665
"MSI",2,"Large",2,968,675
"HP",1,"Large",1,1127,829
"HP",5,"Medium",0,1069,774
"Apple",1,"Large",3,827,585
"HP",3,"Small",2,1041,522
"MSI",2,"Large",1,980,822
"HP",2,"Large",3,1084,583
"MSI",2,"Medium",0,1228,876
"HP",2,"Medium",0,763,756
"HP",3,"Medium",0,1160,868
"HP",2,"Small",1,1287,710
"MSI",3,"Medium",2,986,642
"HP",0,"Medium",3,1121,545
"HP",0,"Medium",4,1175,436
"HP",0,"Medium",1,760,659
"MSI",1,"Large",1,1053,810
"MSI",2,"Large",1,1023,812
"MSI",2,"Large",1,1011,770
"HP",2,"Medium",2,696,535
"HP",2,"Medium",2,662,527
"MSI",1,"Medium",2,998,634
"MSI",0,"Large",4,736,398
"HP",2,"Large",1,867,697
"HP",3,"Medium",6,785,175
"HP",2,"Small",1,1179,662
"MSI",2,"Large",0,967,903
"HP",2,"Medium",2,1268,711
"HP",0,"Large",3,843,531
"HP",2,"Medium",1,1146,804
"HP",4,"Medium",0,1089,831
"HP",3,"Large",0,933,830
"MSI",2,"Large",5,1258,491
"HP",3,"Large",1,938,756
"HP",2,"Medium",0,1100,820
"HP",1,"Large",2,763,556
"MSI",1,"Medium",4,1015,472
"MSI",1,"Small",5,1011,250
"Apple",1,"Small",0,848,740
"MSI",0,"Medium",1,1061,722
"MSI",2,"Large",0,1130,912
"MSI",0,"Large",2,1203,727
"MSI",2,"Small",2,1088,567
"MSI",3,"Large",2,567,559
"HP",5,"Large",1,956,751
"HP",3,"Large",1,1146,776
"MSI",1,"Medium",6,792,178
"HP",1,"Medium",4,1085,431
"HP",4,"Small",3,1273,456
"HP",1,"Large",1,778,711
"HP",2,"Large",0,781,746
"HP",2,"Small",1,960,617
"Apple",3,"Large",1,1350,945
"MSI",0,"Medium",2,1208,745
"MSI",0,"Large",2,1291,778
"HP",1,"Medium",3,1230,566
"HP",4,"Medium",1,909,606
"HP",3,"Large",2,977,594
"Apple",2,"Medium",3,1288,646
"HP",3,"Medium",1,1086,731
"MSI",5,"Medium",2,909,676
"Apple",0,"Medium",3,912,539
"MSI",2,"Medium",2,1050,676
"HP",3,"Large",3,1223,618
"Apple",2,"Medium",0,1079,886
"MSI",3,"Small",1,989,582
"HP",2,"Large",2,1095,719
"HP",3,"Small",2,1134,541
"MSI",1,"Medium",2,971,689
"HP",3,"Medium",1,982,693
"Apple",2,"Large",2,937,730
"HP",2,"Small",0,1170,754
"MSI",6,"Large",0,855,855
"HP",4,"Medium",4,1356,509
"MSI",1,"Medium",1,1074,731
"Apple",2,"Medium",2,1559,861
"MSI",1,"Medium",0,782,812
"HP",1,"Medium",2,948,626
